TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	EXTRA
service_request_history	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
service_requests	id	int	NO	PRI	NULL	auto_increment
service_requests	request_number	varchar	YES	UNI	NULL	
service_requests	institution_id	varchar	YES	MUL	NULL	
service_requests	requested_by_user_id	int	YES	MUL	NULL	
service_requests	technician_id	int	YES	MUL	NULL	
service_requests	priority	enum	NO		medium	
service_requests	status	enum	NO		pending	
service_requests	location	varchar	YES		NULL	
service_requests	description	text	NO		NULL	
service_requests	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
service_requests	printer_id	int	YES	MUL	NULL	
service_requests	started_at	timestamp	YES		NULL	
service_requests	completed_at	timestamp	YES		NULL	
service_requests	resolution_notes	text	YES		NULL	
service_requests	completion_photo_url	varchar	YES		NULL	
service_requests	walk_in_customer_name	varchar	YES		NULL	
service_requests	printer_brand	varchar	YES		NULL	
service_requests	is_walk_in	tinyint	YES		0	
sessions	session_id	varchar	NO	PRI	NULL	
sessions	expires	int	NO	MUL	NULL	
sessions	data	mediumtext	YES		NULL	
technician_assignments	id	int	NO	PRI	NULL	auto_increment
technician_assignments	technician_id	int	NO	MUL	NULL	
technician_assignments	institution_id	varchar	NO	MUL	NULL	
technician_assignments	assigned_by	int	NO	MUL	NULL	
technician_assignments	assigned_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
technician_assignments	is_active	tinyint	YES	MUL	1	
technician_assignments	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
technician_assignments	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
technician_inventory	id	int	NO	PRI	NULL	auto_increment
technician_inventory	technician_id	int	NO	MUL	NULL	
technician_inventory	part_id	int	NO	MUL	NULL	
technician_inventory	quantity	int	NO		0	
technician_inventory	assigned_by	int	YES	MUL	NULL	
technician_inventory	assigned_at	timestamp	YES	MUL	CURRENT_TIMESTAMP	DEFAULT_GENERATED
technician_inventory	last_updated	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
technician_inventory	notes	text	YES		NULL	
temp_user_photos	id	int	NO	PRI	NULL	auto_increment
temp_user_photos	user_id	int	NO	UNI	NULL	
temp_user_photos	front_id_photo	varchar	YES		NULL	
temp_user_photos	back_id_photo	varchar	YES		NULL	
temp_user_photos	selfie_photo	varchar	YES		NULL	
temp_user_photos	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
temp_user_photos	expires_at	timestamp	YES	MUL	(now() + interval 30 day)	DEFAULT_GENERATED
user_printer_assignments	id	int	NO	PRI	NULL	auto_increment
user_printer_assignments	user_id	int	NO	MUL	NULL	
user_printer_assignments	printer_id	int	NO	MUL	NULL	
user_printer_assignments	institution_id	varchar	YES		NULL	
user_printer_assignments	department	varchar	YES		NULL	
user_printer_assignments	assigned_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
users	id	int	NO	PRI	NULL	auto_increment
users	first_name	varchar	NO		NULL	
users	last_name	varchar	NO		NULL	
users	email	varchar	NO	UNI	NULL	
users	password	varchar	NO		NULL	
users	role	enum	NO		NULL	
users	is_email_verified	tinyint	YES		0	
users	status	enum	YES	MUL	active	
users	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
users	updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
users	approval_status	enum	YES		pending	
users	approved_by	int	YES		NULL	
users	approved_at	datetime	YES		NULL	
users	token_version	int	YES		0	
users	must_change_password	tinyint	YES		0	
verification_tokens	id	int	NO	PRI	NULL	auto_increment
verification_tokens	user_id	int	YES	MUL	NULL	
verification_tokens	token	varchar	NO		NULL	
verification_tokens	code	varchar	YES	MUL	NULL	
verification_tokens	type	enum	NO		NULL	
verification_tokens	expires_at	timestamp	NO		NULL	
verification_tokens	created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
voluntary_services	id	int	NO	PRI	NULL	auto_increment
voluntary_services	technician_id	int	NO	MUL	NULL	
voluntary_services	printer_id	int	NO	MUL	NULL	
voluntary_services	institution_id	varchar	NO	MUL	NULL	
voluntary_services	requester_id	int	YES	MUL	NULL	
voluntary_services	service_description	text	NO		NULL	
voluntary_services	parts_used	text	YES		NULL	
voluntary_services	status	enum	YES	MUL	pending_coordinator	
voluntary_services	coordinator_approval_status	enum	YES		pending	
voluntary_services	requester_approval_status	enum	YES		pending	
voluntary_services	coordinator_notes	text	YES		NULL	
voluntary_services	requester_notes	text	YES		NULL	
voluntary_services	created_at	timestamp	YES	MUL	CURRENT_TIMESTAMP	DEFAULT_GENERATED
voluntary_services	coordinator_reviewed_at	timestamp	YES		NULL	
voluntary_services	coordinator_reviewed_by	int	YES		NULL	
voluntary_services	requester_reviewed_at	timestamp	YES		NULL	
voluntary_services	requester_reviewed_by	int	YES		NULL	
voluntary_services	completed_at	timestamp	YES		NULL	
